ID_Site;ID_Prod_Meth;Species;;
ES08;ES08_Macroalgae_Harvesting;Red seaweed;;
ES09;ES09_Microalgae_Photobioreactors;Isochrysis sp.;;
ES09;ES09_Microalgae_Photobioreactors;Nannochloropsis sp.;;
ES09;ES09_Microalgae_Photobioreactors;Phaeodactylum sp.;;
ES09;ES09_Microalgae_Photobioreactors;Tetraselmis sp.;;
ES10;ES10_Macroalgae_Harvesting;Himanthalia sp.;;
ES10;ES10_Macroalgae_Harvesting;Porphyra sp.;;
ES10;ES10_Macroalgae_Harvesting;Ulva sp.;;
ES10;ES10_Macroalgae_Harvesting;Undaria sp.;;
ES11;ES11_Macroalgae_Harvesting;Brown seaweed;;
ES11;ES11_Macroalgae_Harvesting;Codium sp.;;
ES11;ES11_Macroalgae_Harvesting;Ulva sp.;;
ES11;ES11_Macroalgae_Harvesting;Undaria sp.;;
ES12;ES12_Macroalgae_Aquaculture Land-based;Ulva sp.;;
ES13;ES13_Microalgae_Open Ponds;Chlorella sp.;;
ES13;ES13_Microalgae_Open Ponds;Dunaliella salina;;
ES13;ES13_Microalgae_Open Ponds;Nannochloropsis sp.;;
ES14;ES14_Microalgae_Photobioreactors, Open Ponds;Acutodesmus obliquus;;
ES14;ES14_Microalgae_Photobioreactors, Open Ponds;Botryococcus sp.;;
ES14;ES14_Microalgae_Photobioreactors, Open Ponds;Chlorella vulgaris;;
ES14;ES14_Microalgae_Photobioreactors, Open Ponds;Dunaliella salina;;
ES14;ES14_Microalgae_Photobioreactors, Open Ponds;Haematococcus pluvialis;;
ES14;ES14_Microalgae_Photobioreactors, Open Ponds;Isochrisys galbana;;
ES14;ES14_Microalgae_Photobioreactors, Open Ponds;Nannochloropsis gaditana;;
ES14;ES14_Microalgae_Photobioreactors, Open Ponds;Navicularia;;
ES14;ES14_Microalgae_Photobioreactors, Open Ponds;Phaeodactylum tricornutum;;
ES14;ES14_Microalgae_Photobioreactors, Open Ponds;Tisochrysis lutea;;
ES15;ES15_Macroalgae_Harvesting;Chondrus crispus;;
ES15;ES15_Macroalgae_Harvesting;Codium sp.;;
ES15;ES15_Macroalgae_Harvesting;Gigartina pistillata;;
ES15;ES15_Macroalgae_Harvesting;Himanthalia elongata;;
ES15;ES15_Macroalgae_Harvesting;Laminaria ochroleuca;;
ES15;ES15_Macroalgae_Harvesting;Mastocarpus stellatus;;
ES15;ES15_Macroalgae_Harvesting;Porphyra sp.;;
ES15;ES15_Macroalgae_Harvesting;Saccharina latissima;;
ES15;ES15_Macroalgae_Harvesting;Ulva sp.;;
ES15;ES15_Macroalgae_Harvesting;Undaria sp.;;
ES16;ES16_Macroalgae_Harvesting;Codium sp.;;
ES16;ES16_Macroalgae_Harvesting;Gracilaria sp.;;
ES16;ES16_Macroalgae_Harvesting;Ulva sp.;;
ES17;ES17_Macroalgae_Harvesting;Ascophyllum nodosum;;
ES17;ES17_Macroalgae_Harvesting;Bifurcaria bifurcata;;
ES17;ES17_Macroalgae_Harvesting;Fucus vesiculosus;;
ES17;ES17_Macroalgae_Harvesting;Saccharina latissima;;
ES18;ES18_Macroalgae_Pilot;Saccharina sp.;;
ES22;ES22_Macroalgae_Pilot;Saccharina sp.;;
ES19;ES19_Macroalgae_Harvesting;Himanthalia elongata;;
ES19;ES19_Macroalgae_Harvesting;Undaria sp.;;
ES20;ES20_Macroalgae_Aquaculture Offshore;Saccharina latissima;;
ES21;ES21_Macroalgae_Aquaculture Coastal;Gracilaria sp.;;
ES21;ES21_Macroalgae_Aquaculture Coastal;Ulva sp.;;
FO01;FO01_Macroalgae_Aquaculture Offshore;Alaria esculenta;;
FO01;FO01_Macroalgae_Aquaculture Offshore;Laminaria digitata;;
FO01;FO01_Macroalgae_Aquaculture Offshore;Palmaria palmata;;
FO01;FO01_Macroalgae_Aquaculture Offshore;Saccharina latissima;;
FR01;FR01_Macroalgae_Harvesting;Ascophyllum nodosum;;
FR01;FR01_Macroalgae_Harvesting;Brown seaweed;;
FR01;FR01_Macroalgae_Harvesting;Chondrus crispus;;
FR01;FR01_Macroalgae_Harvesting;Fucus sp.;;
FR01;FR01_Macroalgae_Harvesting;Laminaria digitata;;
FR01;FR01_Macroalgae_Harvesting;Ulva lactuca;;
FR03;FR03_Macroalgae_Aquaculture Offshore;Laminaria sp.;;
FR04;FR04_Macroalgae_Harvesting;Laminaria digitata;;
FR04;FR04_Macroalgae_Harvesting;Palmaria palmata;;
FR04;FR04_Macroalgae_Harvesting;Porphyra sp.;;
FR04;FR04_Macroalgae_Harvesting;Ulva lactuca;;
FR04;FR04_Macroalgae_Harvesting;Undaria sp.;;
FR05;FR05_Macroalgae_Harvesting;Alaria sp.;;
FR05;FR05_Macroalgae_Harvesting;Chondrus crispus;;
FR05;FR05_Macroalgae_Harvesting;Fucus sp.;;
FR05;FR05_Macroalgae_Harvesting;Himanthalia elongata;;
FR05;FR05_Macroalgae_Harvesting;Lithothamnium calcareum;;
FR05;FR05_Macroalgae_Harvesting;Palmaria palmata;;
FR05;FR05_Macroalgae_Harvesting;Porphyra sp.;;
FR05;FR05_Macroalgae_Harvesting;Saccharina latissima;;
FR05;FR05_Macroalgae_Harvesting;Ulva sp.;;
FR05;FR05_Macroalgae_Harvesting;Undaria sp.;;
FR06;FR06_Macroalgae_Aquaculture Coastal, Harvesting;Brown seaweed;;
FR06;FR06_Macroalgae_Aquaculture Coastal, Harvesting;Red seaweed;;
FR07;FR07_Macroalgae_Harvesting;Himanthalia elongata;;
FR07;FR07_Macroalgae_Harvesting;Palmaria palmata;;
FR07;FR07_Macroalgae_Harvesting;Porphyra sp.;;
FR07;FR07_Macroalgae_Harvesting;Saccharina latissima;;
FR07;FR07_Macroalgae_Harvesting;Ulva sp.;;
FR07;FR07_Macroalgae_Harvesting;Undaria sp.;;
FR09;FR09_Macroalgae_Harvesting;Fucus vesiculosus;;
FR09;FR09_Macroalgae_Harvesting;Himanthalia elongata;;
FR09;FR09_Macroalgae_Harvesting;Palmaria palmata;;
FR09;FR09_Macroalgae_Harvesting;Porphyra sp.;;
FR09;FR09_Macroalgae_Harvesting;Saccharina latissima;;
FR09;FR09_Macroalgae_Harvesting;Ulva lactuca;;
FR09;FR09_Macroalgae_Harvesting;Undaria sp.;;
FR10;FR10_Macroalgae_Harvesting;Himanthalia elongata;;
FR10;FR10_Macroalgae_Harvesting;Palmaria palmata;;
FR10;FR10_Macroalgae_Harvesting;Porphyra umbilicalis;;
FR10;FR10_Macroalgae_Harvesting;Saccharina latissima;;
FR10;FR10_Macroalgae_Harvesting;Ulva sp.;;
FR10;FR10_Macroalgae_Harvesting;Undaria sp.;;
FR11;FR11_Macroalgae_Aquaculture Offshore;Alaria esculenta;;
FR11;FR11_Macroalgae_Aquaculture Offshore;Saccharina latissima;;
FR11;FR11_Macroalgae_Aquaculture Offshore;Undaria sp.;;
FR12;FR12_Microalgae_Photobioreactors;Chlorella vulgaris;;
FR12;FR12_Microalgae_Photobioreactors;Haematococcus pluvialis;;
FR15;FR15_Microalgae_Photobioreactors;Chlorella vulgaris;;
FR16;FR16_Microalgae_Photobioreactors;Chlorella sp.;;
FR16;FR16_Microalgae_Photobioreactors;Nannochloropsis sp.;;
FR16;FR16_Microalgae_Photobioreactors;Porphyridium sp.;;
FR17;FR17_Macroalgae_Harvesting;Brown seaweed;;
FR17;FR17_Macroalgae_Harvesting;Himanthalia elongata;;
FR17;FR17_Macroalgae_Harvesting;Palmaria palmata;;
FR17;FR17_Macroalgae_Harvesting;Porphyra sp.;;
FR17;FR17_Macroalgae_Harvesting;Ulva sp.;;
FR17;FR17_Macroalgae_Harvesting;Undaria sp.;;
FR19;FR19_Macroalgae_Harvesting;Solieria sp.;;
FR19;FR19_Macroalgae_Harvesting;Ulva sp.;;
FR20;FR20_Macroalgae_Harvesting;Alaria esculenta;;
FR20;FR20_Macroalgae_Harvesting;Saccharina latissima;;
FR20;FR20_Macroalgae_Harvesting;Undaria sp.;;
FR21;FR21_Macroalgae_Harvesting;Chondrus crispus;;
FR21;FR21_Macroalgae_Harvesting;Fucus vesiculosus;;
FR21;FR21_Macroalgae_Harvesting;Laminaria digitata;;
FR21;FR21_Macroalgae_Harvesting;Lithothamnium calcareum;;
FR21;FR21_Macroalgae_Harvesting;Palmaria palmata;;
FR21;FR21_Macroalgae_Harvesting;Ulva lactuca;;
FR21;FR21_Macroalgae_Harvesting;Undaria sp.;;
FR22;FR22_Macroalgae_Harvesting;Ascophyllum nodosum;;
FR22;FR22_Macroalgae_Harvesting;Fucus sp.;;
FR22;FR22_Macroalgae_Harvesting;Palmaria sp.;;
FR22;FR22_Macroalgae_Harvesting;Porphyra sp.;;
FR22;FR22_Macroalgae_Harvesting;Ulva sp.;;
FR22;FR22_Macroalgae_Harvesting;Undaria sp.;;
FR23;FR23_Microalgae_Photobioreactors;Brachionus plicatilis;;
FR23;FR23_Microalgae_Photobioreactors;Chlorella vulgaris;;
FR23;FR23_Microalgae_Photobioreactors;Dunaliella salina;;
FR23;FR23_Microalgae_Photobioreactors;Isochrisys galbana;;
FR23;FR23_Microalgae_Photobioreactors;Nannochloropsis oculata;;
FR23;FR23_Microalgae_Photobioreactors;Tetraselmis suecica;;
FR24;FR24_Macroalgae_Harvesting;Sargassum sp.;;
FR24;FR24_Macroalgae_Harvesting;Solieria sp.;;
FR24;FR24_Macroalgae_Harvesting;Ulva sp.;;
FR25;FR25_Macroalgae_Harvesting;Ascophyllum sp.;;
FR25;FR25_Macroalgae_Harvesting;Asparagopsis armata;;
FR25;FR25_Macroalgae_Harvesting;Chondrus sp.;;
FR25;FR25_Macroalgae_Harvesting;Corallina sp.;;
FR25;FR25_Macroalgae_Harvesting;Fucus sp.;;
FR25;FR25_Macroalgae_Harvesting;Himanthalia sp.;;
FR25;FR25_Macroalgae_Harvesting;Laminaria sp.;;
FR25;FR25_Macroalgae_Harvesting;Palmaria sp.;;
FR25;FR25_Macroalgae_Harvesting;Pelvetia sp.;;
FR25;FR25_Macroalgae_Harvesting;Ulva sp.;;
FR26;FR26_Macroalgae_Aquaculture Offshore, Harvesting;Ulva rigida;;
HU01;HU01_Microalgae_Photobioreactors;Klebsormidium bilatum;;
HU01;HU01_Microalgae_Photobioreactors;Neochloris conjuncta;;
HU01;HU01_Microalgae_Photobioreactors;Scenedesmus obtusiusculus;;
IC01;IC01_Microalgae_Photobioreactors;Haematococcus pluvialis;;
IC02;IC02_Macroalgae_Harvesting;Ascophyllum nodosum;;
IC02;IC02_Macroalgae_Harvesting;Laminaria digitata;;
IC03;IC03_Microalgae_Photobioreactors;Haematococcus pluvialis;;
IE01;IE01_Macroalgae_Harvesting;Alaria esculenta;;
IE01;IE01_Macroalgae_Harvesting;Chondrus crispus;;
IE01;IE01_Macroalgae_Harvesting;Himanthalia elongata;;
IE01;IE01_Macroalgae_Harvesting;Laminaria digitata;;
IE01;IE01_Macroalgae_Harvesting;Palmaria palmata;;
IE01;IE01_Macroalgae_Harvesting;Porphyra umbilicalis;;
